#
#  ecol316435-wgscyc 21.5 Reactions link table generated on Tue Oct 24, 2017
#
RXN0-2161	EC-6.1.1.11
GLUTRACE-RXN	EC-5.1.1.3
CDPREDUCT-RXN	EC-1.17.4.1
R345-RXN	EC-6.3.5.10
UDPREDUCT-RXN	EC-1.17.4.1
RXN0-5266	EC-1.10.3
2.7.1.69-RXN	EC-2.7.1.69
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
RXN-14382	
RXN0-2441	EC-2.1.1.144
RXN-1961	EC-6.3.4.19
ADDALT-RXN	EC-3.5.4.4
RXN-10857	EC-4.1.2.25
TRANSALDOL-RXN	EC-2.2.1.2
L-LACTDEHYDROGFMN-RXN	
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	EC-3.2.1.67
P-PANTOCYSLIG-RXN	EC-6.3.2.5
3.6.4.9-RXN	EC-3.6.4.9
TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	EC-2.1.1.11
COBINPGUANYLYLTRANS-RXN	EC-2.7.7.62
3.2.1.49-RXN	EC-3.2.1.49
PGLYCEROLTRANSI-RXN	EC-2.7.8.20
2.8.1.5-RXN	EC-2.8.1.5
RXN-1623	EC-2.3.1.51
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
RXN-8643	EC-1.1.1.93
3.1.21.7-RXN	EC-3.1.21.7
RXN-9549	EC-3.1.2.14
RXN-13329	
RXN-10992	
RXN-12747	EC-1.1.1.145
RXN-6081	
RXN-15510	
GUANOSINEKIN-RXN	EC-2.7.1.73
RXN0-6526	EC-3.1.27.6
RXNI-2	EC-2.8.3.5
RXN-5901	EC-1.1.1.36
RIB5PISOM-RXN	EC-5.3.1.6
RXN3DJ-64	EC-3.2.1
OMEGA-AMIDASE-RXN	EC-3.5.1.3
RXN0-5184	EC-2.4.1.1
RXN-11667	EC-4.2.1
UGD-RXN	EC-1.1.1.22
ALTRO-OXIDOREDUCT-RXN	EC-1.1.1.58
OXAMATE-CARBAMOYLTRANSFERASE-RXN	EC-2.1.3.5
METHYLISOCITRATE-LYASE-RXN	EC-4.1.3.30
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
RIBAZOLEPHOSPHAT-RXN	EC-3.1.3.73
RXN0-4301	EC-5.3.1.28
PORPHOBILSYNTH-RXN	EC-4.2.1.24
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
TRYPTOPHAN-RXN	EC-4.1.99.1
2.7.3.9-RXN	EC-2.7.3.9
RXN1G-218	EC-2.3.1.41
RXN0-2602	EC-3.2.2.23
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
RXN-14029	EC-2.4.2.1
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
RXN-13039	EC-2.7.7.63
SUCC-FUM-OXRED-RXN	EC-1.3.99.1
RXN1G-951	EC-1.1.1.100
RXN1G-349	EC-1.1.1.100
RXN1G-1437	EC-3.1.3.12
RXN0-742	EC-6.3.4.18
THIKIN-RXN	EC-2.7.1.89
TSA-REDUCT-RXN	EC-1.1.1.60
RXN0-305	EC-5.3.1.22
GLYOCARBOLIG-RXN	EC-4.1.1.47
SUCROSE-SYNTHASE-RXN	EC-2.4.1.13
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
RXN0-308	EC-2.8.1.7
ISOCITDEH-RXN	EC-1.1.1.42
RXN-14025	EC-3.1.3.5
RXN-10642	EC-4.1.1.37
RXN-12978	EC-6.2.1.3
3.4.23.36-RXN	EC-3.4.23.36
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-9663	EC-1.3.1.9
RXN1G-163	EC-1.1.1.100
RXN-5424	EC-1.1.1.1
HYDROXYPYRROLINEDEH-RXN	EC-1.5.1.12
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
RXN-7693	EC-1.1.1.1
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
2-METHYLCITRATE-DEHYDRATASE-RXN	EC-4.2.1.79
3.2.2.24-RXN	EC-3.2.2.24
ALPHA-AMYL-RXN	EC-3.2.1.1
RXN0-5242	
RXN-11471	EC-1.1.1
RXN-15124	
RXN-14396	
RXN-14066	EC-1.2.1.8
R621-RXN	EC-1.14.12.17
RXN-11591	EC-2.1.1.176
RXN-14091	EC-3.1.4.16
RXN0-4141	EC-1.12.99.6
RXN0-4641	EC-4.2.1.126
RXN1G-1050	EC-1.1.1.100
RXN0-5433	EC-4.1.2
TETHYDPICSUCC-RXN	EC-2.3.1.117
RXN-11866	EC-2.1.1.200
MBCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168
RXN-9550	EC-3.1.2.14
RXN0-5198	EC-1.7.2.2
METHGLYSYN-RXN	EC-4.2.3.3
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
2.7.1.156-RXN	EC-2.7.1.156
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
R223-RXN	EC-6.2.1.3
RXN-9661	EC-1.3.1.9
RXN-12165	EC-1.2.1
RXN-7643	EC-4.1.1.72
PROLINE--TRNA-LIGASE-RXN	EC-6.1.1.15
RXN-14971	EC-1.3.5.1
RXN-14712	EC-2.4.1.129
RXN-11860	EC-2.1.1.207
PHOSPHASERSYN-RXN	EC-2.7.8.8
GLUCISOM-RXN	EC-5.3.1.5
TRYPTOPHAN-2-MONOOXYGENASE-RXN	EC-1.13.12.3
LXULRU5P-RXN	EC-5.1.3.22
RXN0-5122	EC-2.4
L-ARABINOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.46
RXN-13163	EC-4.2.1.33
RXN-9551	EC-3.1.2.14
RXN-7904	EC-6.2.1.3
TRANS-RXN-168	
RXN-8654	EC-2.7.7.63
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13
RXN0-6485	EC-3.1.26.12
INOPHOSPHOR-RXN	EC-2.4.2.1
ALLANTOICASE-RXN	EC-3.5.3.4
RXN-15004	EC-3.5.1
RXN-9387	
FUCULOKIN-RXN	EC-2.7.1.51
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
RXN1G-1003	EC-2.3.1.41
1.1.2.5-RXN	EC-1.1.2.5
GKI-RXN	EC-2.7.1.165
F16BDEPHOS-RXN	EC-3.1.3.11
DADPKIN-RXN	EC-2.7.4.6
R344-RXN	EC-2.5.1.17
RXN-12710	EC-2.3.1.16
NAD-KIN-RXN	EC-2.7.1.23
3.4.15.5-RXN	EC-3.4.15.5
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-9	EC-2.1.3
RXN-8339	EC-1.97.1
RXN-8784	
FRUCTOSEPHOSPHO-RXN	EC-2.7.1.69
GSHTRAN-RXN	EC-2.5.1.18
RXN-9362	EC-2.1.1.163
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
RXN-10018	
RXN-8642	
RXN0-5468	EC-1.11.1.15
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6
RXN0-5245	
TYROSINE--TRNA-LIGASE-RXN	EC-6.1.1.1
RXN-9363	EC-2.1.1.163
PURINE-NUCLEOSIDASE-RXN	EC-3.2.2.1
TRE6PHYDRO-RXN	EC-3.2.1.93
RXN-9789	EC-2.7.7.73
RXN0-3501	EC-1.7.5.1
3.1.1.64-RXN	EC-3.1.1.1
RXN66-532	EC-5.4.2.5	EC-5.4.2.2
RXN-8668	EC-1.8.4.11
3.1.27.6-RXN	EC-3.1.27.6
RXN-14063	EC-2.7.1.156
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
RXN-10769	EC-3.2.1.21
HOMOSERKIN-RXN	EC-2.7.1.39
3.4.21.102-RXN	EC-3.4.21.102
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
RXN-14532	EC-1.1.1.266
RXN-9548	EC-3.1.2.14
2.9.1.1-RXN	EC-2.9.1.1
4.2.3.26-RXN	EC-4.2.3.26
3.4.21.83-RXN	EC-3.4.21.83
RXN-11246	EC-2.3.1.16
RXN-9633	EC-2.3.1.86	EC-1.1.1.100
RXN-14515	
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
THREOSPON-RXN	
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-4821	EC-3.5.99
MALTOSE-PHOSPHORYLASE-RXN	EC-2.4.1.8
RXN-8974	EC-1.1.1.298
2.1.1.79-RXN	EC-2.1.1.79
RXN3O-1803	EC-2.3.1.86
RXN-11836	EC-5.4.99.22
GCVMULTI-RXN	
GST-RXN	EC-2.5.1.18
RXN-15122	
3.1.26.3-RXN	EC-3.1.26.3
PROPKIN-RXN	EC-2.7.2.15
RXN-9659	EC-1.3.1.9
1.7.7.2-RXN	EC-1.7.7.2
2.7.9.3-RXN	EC-2.7.9.3
1.18.1.2-RXN	EC-1.18.1.2
RXN-12508	
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN-821	EC-1.5.99.8
RXN-13111	
ENZRXN-161-RXN	EC-1.1.1
DAHPSYN-RXN	EC-2.5.1.54
RXN-9230	EC-2.5.1.39
RXN0-2522	
RXN-13443	EC-1.1.1.100
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10
TDCEACT-RXN	EC-1.97.1.4
NQOR-RXN	EC-1.6.5.2
FGAMSYN-RXN	EC-6.3.5.3
RXN-11152	
OROTPDECARB-RXN	EC-4.1.1.23
RXN-10015	
RXN-11470	EC-1.1.1.201
RXNQT-4191	EC-3.1.3.2
GLYMALTOPHOSPHORYL-RXN	EC-2.4.1.1
4.3.1.17-RXN	EC-4.3.1.17
7KAPSYN-RXN	EC-2.3.1.47
PHOSMANMUT-RXN	EC-5.4.2.8
LUMAZINESYN-RXN	EC-2.5.1.78
RXN-12869	
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
RXN0-1862	EC-2.1.2.13
RXN-13519	
RXN-12521	EC-1.3.1.34
VALINE-PYRUVATE-AMINOTRANSFER-RXN	EC-2.6.1.66
RXN-14177	EC-2.1.1.163
2.3.1.157-RXN	EC-2.3.1.157
RXN-14973	
GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.2
1PFRUCTPHOSN-RXN	EC-2.7.1.56
URITRANS-RXN	EC-2.7.7.59
RXN-12460	EC-3.1.1.29
PRIBFAICARPISOM-RXN	EC-5.3.1.16
N-ACETYLLACTOSAMINE-SYNTHASE-RXN	EC-2.4.1.90
RXN-14290	
RXN-9615	
RXN-14693	
RXN0-5118	EC-2.4
PHENYLALANINE--TRNA-LIGASE-RXN	EC-6.1.1.20
RXN-12198	EC-3.6.1.6
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
ISPH2-RXN	EC-1.17.1.2
RXN0-722	EC-1.17.4.1
ACYLCOASYN-RXN	EC-6.2.1.3
RXN1G-481	EC-1.1.1.100
SORB6PDEHYDROG-RXN	EC-1.1.1.140
RXN-13600	EC-3.2.1.21
ARGDECARBOX-RXN	EC-4.1.1.19
CYTIKIN-RXN	EC-2.7.1.48
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN-15356	
RXN-11244	EC-4.2.1.17
1.7.2.2-RXN	EC-1.7.2.2
RXN-8798	EC-1.14.13
BUTYRYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.1
CDPDIGLYPYPHOSPHA-RXN	EC-3.6.1.26
CYTIDEAM-RXN	EC-3.5.4.5
3.4.24.70-RXN	EC-3.4.24.70
RXN-2881	
RXN-3641	EC-2.3.1.174
3.2.2.21-RXN	EC-3.2.2.21
RXN-8797	EC-1.14.13
2.7.10.2-RXN	EC-2.7.10.2
6PFRUCTPHOS-RXN	EC-2.7.1.11
RXN-15139	
RXN3O-102	EC-2.1.1.64
RXN-10702	EC-1.1.1.35
7-ALPHA-HYDROXYSTEROID-DEH-RXN	EC-1.1.1.159
2.3.1.49-RXN	EC-2.3.1.49
GSPAMID-RXN	EC-3.5.1.78
PEPCARBOXYKIN-RXN	EC-4.1.1.49
5.3.4.1-RXN	EC-5.3.4.1
5.1.2.3-RXN	EC-5.1.2.3
PHOSACETYLTRANS-RXN	EC-2.3.1.8
3.1.3.56-RXN	EC-3.1.3.56
3.1.11.2-RXN	EC-3.1.11.2
3.6.1.41-RXN	EC-3.6.1.41
RXN-11865	EC-2.1.1.207
GARTRANSFORMYL2-RXN	EC-2.1.2
1.1.1.178-RXN	EC-1.1.1.178
RXN0-5257	
RXN-1825	EC-3.2.1.1
RXN-12353	EC-1.14.11.33
KDOTRANS2-RXN	EC-2.4.99.13
ADENODEAMIN-RXN	EC-3.5.4.4
URKI-RXN	EC-2.7.1.48
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
GALACTOKIN-RXN	EC-2.7.1.6
RXN0-6369	EC-1.7.99.4
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
KDPGALDOL-RXN	EC-4.1.2.14
RXN1G-881	EC-1.1.1.100
RXN-13031	EC-3.5.1
1.5.1.15-RXN	EC-1.5.1.15
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN0-5131	EC-2.7.7
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
TRANS-RXN0-237	
BTUR2-RXN	EC-2.5.1.17
3.2.1.14-RXN	EC-3.2.1.14
NITRIC-OXIDE-REDUCTASE-RXN	EC-1.7.2.5
LYXK-RXN	EC-2.7.1.53
RXN0-2144	EC-4.2.1.59
4.2.99.18-RXN	EC-4.2.99.18
FUCISOM-RXN	EC-5.3.1.25
RXN-8447	
RXN-14160	EC-3.1.4.46
RXN0-5387	EC-1.6.5
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	EC-2.1.1.35
RXNMETA-12672	EC-1.17.1.7
RXN-14753	
3.4.19.5-RXN	EC-3.4.19.5
RXN-13108	
DCTP-DEAM-RXN	EC-3.5.4.13
RXN-13602	EC-3.2.1.21
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
TRYPSYN-RXN	EC-4.2.1.20
RXN-7800	
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-5268	EC-1.10.3.10
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
THI-P-SYN-RXN	EC-2.5.1.3
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
RXN-13449	EC-1.3.8.1
RXN-6642	EC-3.4.11.2
LACTOSEPHOSPHO-RXN	EC-2.7.1.69
RXN1G-182	EC-1.1.1.100
HYDROXYLAMINE-REDUCTASE-NADH-RXN	EC-1.7.1.10
RXN-12870	
RXN-12519	EC-5.3.3.8
1.8.1.4-RXN	EC-1.8.1.4
RXN-12702	EC-6.2.1.3
RXN-7931	EC-5.3.3.8
CHD-RXN	EC-1.1.99.1
GLU6PDEHYDROG-RXN	EC-1.1.1.49
RXN-1381	EC-2.3.1.15
1TRANSKETO-RXN	EC-2.2.1.1
RXN-12726	EC-2.5.1.47
RXN1G-409	EC-1.1.1.100
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
RXN0-703	EC-1.1.1.130
ACETYLORNTRANSAM-RXN	EC-2.6.1.11
RXN-10779	
PYRUFLAVREDUCT-RXN	EC-1.2.7.1
RXN-11346	EC-2.4.1.227
RXN-9868	EC-3.1.1.45
GABATRANSAM-RXN	EC-2.6.1.19
L-GULONOLACTONE-OXIDASE-RXN	
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
RXN-10661	EC-1.3.1.10
4.2.1.99-RXN	EC-4.2.1.99
2.3.1.41-RXN	EC-2.3.1.41
GMP-REDUCT-RXN	EC-1.7.1.7
RXN-9635	EC-1.3.1.9
PGLUCISOM-RXN	EC-5.3.1.9
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
3.4.13.9-RXN	EC-3.4.13.9
RXN-11707	EC-1.2.1.80
MALATE-DEH-RXN	EC-1.1.1.37
CDPDIGLYSYN-RXN	EC-2.7.7.41
RXN-9652	EC-2.3.1.86
R343-RXN	EC-1.16.8.1
COBINAMIDEKIN-RXN	EC-2.7.1.156
PHOSICITDEHASE-RXN	EC-2.7.11.5
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	EC-5.1.3.7
3.1.13.1-RXN	EC-3.1.13.1
RXN-9788	
RXN0-6427	EC-3.1.7.2
CYCPHOSDIESTER-RXN	EC-3.1.4.16
GLYCDEH-RXN	EC-1.1.1.6
RXN-12303	EC-1.6.5.2
HISTOLDEHYD-RXN	
3.4.24.3-RXN	EC-3.4.24.3
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
RXN-7605	EC-2.1.1
SAICARSYN-RXN	EC-6.3.2.6
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.5.4
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
RXN-7644	EC-1.1.1.14
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
RXN-7607	EC-3.1.3.5
2.3.1.180-RXN	EC-2.3.1.180
SULFITE-DEHYDROGENASE-RXN	EC-1.8.2.1
1.11.1.12-RXN	EC-1.11.1.12
RXN-11568	EC-3.1.6.4
2.1.1.63-RXN	EC-2.1.1.63
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	EC-3.2.1.86
RXN0-2381	EC-4.1.2.8
PRPPSYN-RXN	EC-2.7.6.1
RXN0-1861	EC-1.1.1.305
RXN-13698	EC-2.6.1.2
3.4.16.4-RXN	EC-3.4.16.4
RXN-9518	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-14129	EC-3.5.4.1
GLUTAMIN-RXN	EC-3.5.1.2
BUTANAL-DEHYDROGENASE-RXN	EC-1.2.1.57
RXN66-1	EC-1.11.1.6
TAGAKIN-RXN	EC-2.7.1.144
RXN1G-1436	EC-3.1.3.12
RXN1G-203	EC-1.1.1.100
4.3.1.15-RXN	EC-4.3.1.15
BIOTIN-CARBOXYL-RXN	EC-6.3.4.14
RXN-5721	
RXN-9648	EC-2.3.1.86
RXN-11029	EC-2.4.1.227
RXN-10991	
RXN-13110	
RXN1G-364	EC-1.1.1.100
RXN-905	
MALTACETYLTRAN-RXN	EC-2.3.1.79
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-6261	EC-6.3.1.10
AMPSYN-RXN	EC-4.3.2.2
RXN-12871	
3.4.21.92-RXN	EC-3.4.21.92
THRESYN-RXN	EC-4.2.3.1
NITRATE-REDUCTASE-NADPH-RXN	EC-1.7.1.3
RXN0-6480	EC-3.1.26.5
RXN-9205	EC-2.1.1.163
RXN-5283	
SULFITE-REDUCT-RXN	EC-1.8.1.2
INOSINEKIN-RXN	EC-2.7.1.73
RXN-7241	EC-3.1.3.26
DARAB5PISOM-RXN	EC-5.3.1.13
RXN-12129	EC-1.7.5.2
BADH-RXN	EC-1.2.1.8
RXN-10462	EC-2.3.1.15
RXN1G-508	EC-1.1.1.100
RXN-14014	EC-1.17.1.8
DIHYDROOROT-RXN	EC-3.5.2.3
RIBOSYLHOMOCYSTEINASE-RXN	EC-4.4.1.21
RXN-13202	EC-6.3.5.5
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN1G-358	EC-1.1.1.100
RXN-11410	
RXN0-5419	
TRANS-RXN-155B	
PABASYN-RXN	EC-2.6.1.85
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
RXN-12864	
RXN-13677	EC-3.4.11.2
TYRAMINOTRANS-RXN	EC-2.6.1.57
2.1.1.72-RXN	EC-2.1.1.72
THIAMIN-PYROPHOSPHOKINASE-RXN	EC-2.7.6.2
GLUTAMIDOTRANS-RXN	EC-2.4.2
GLYCINE--TRNA-LIGASE-RXN	EC-6.1.1.14
N-METHYL-L-AMINO-ACID-OXIDASE-RXN	EC-1.5.3.2
RXN-11348	EC-2.4.1.129
URIDINEKIN-RXN	EC-2.7.1.48
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
RXN-10952	EC-3.1.3.25
RXN-11291	EC-2.4.1.129
RXN0-947	EC-2.3.1.181
RXN-8037	
RXN0-1147	EC-2.3.1.61
RXN0-6512	EC-2.3.1
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
ADCLY-RXN	EC-4.1.3.38
PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
DTDPKIN-RXN	EC-2.7.4.6
2.3.1.118-RXN	EC-2.3.1.118
DGDPKIN-RXN	EC-2.7.4.6
RXN-14074	EC-2.7.4.6
PHEAMINOTRANS-RXN	EC-2.6.1.57
RXN-12615	EC-1.17.3.2
RXN0-5121	EC-2.7.1
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.16
RXN-10699	EC-2.3.1.16
RXN0-5255	
RXN0-986	EC-1.14.11.33
RXN0-280	EC-1.14.14.5
RXN-3523	
GLUTAMINESYN-RXN	EC-6.3.1.2
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
FHLMULTI-RXN	
ADENYL-KIN-RXN	EC-2.7.4.3
SUCCCOASYN-RXN	EC-6.2.1.5
RXN-10705	EC-4.2.1.17
RXN0-302	EC-4.6.1.12
FUC4NACTRANS-RXN	EC-2.4.1
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
3.4.11.2-RXN	EC-3.4.11.2
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
2-ISOPROPYLMALATESYN-RXN	EC-2.3.3.13
GDPMANDEHYDRA-RXN	EC-4.2.1.47
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	EC-2.4.1.64
CPM-KDOSYNTH-RXN	EC-2.7.7.38
2.7.8.25-RXN	EC-2.7.8.25
TREHALOSEPHOSPHA-RXN	EC-3.1.3.12
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
R165-RXN	EC-1.1.1.154
RXN-13179	EC-1.1.1.262
RXN0-6527	EC-3.1.27.6
RXN0-5330	EC-1.6.5.9
PALMITOTRANS-RXN	EC-2.3.1
DXS-RXN	EC-2.2.1.7
RXN-11633	EC-2.1.1.182
RXN-9358	EC-2.5.1.74
RXN-9781	EC-5.1.99.5
THREONINE-ALDOLASE-RXN	EC-4.1.2.48	EC-4.1.2.5
FPPSYN-RXN	EC-2.5.1.10
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
UDPGLCNACEPIM-RXN	EC-5.1.3.14
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.9
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-9623	EC-6.2.1.3
PRODISULFREDUCT-A-RXN	EC-1.8.4
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	EC-2.5.1.7
RXN-15006	EC-1.2.1.38
THIAZOLSYN2-RXN	EC-2.8.1.10
RXN0-5390	EC-3.1.2
MYRPALMTRAN-RXN	EC-2.3.1
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
UDPKIN-RXN	EC-2.7.4.6
ACONITATEDEHYDR-RXN	
RXN1A0-6303	EC-1.3.1
3.5.1.28-RXN	EC-3.5.1.28
RXN-12104	
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
1.8.4.8-RXN	EC-1.8.4.8
RXN-9523	EC-2.3.1.41
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
RXN0-5146	EC-3.2.1.33
RXN1F-72	EC-1.3.1.75
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN0-6274	EC-2.5.1.75
GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
1.3.1.9-RXN	EC-1.3.1.9
5.4.2.10-RXN	EC-5.4.2.10
RXN0-6482	EC-2.7.7.56
RXN-9359	EC-2.5.1.74
RXN0-303	EC-5.3.1
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	EC-2.1.2.9
2.8.3.9-RXN	EC-2.8.3.9
RXN-14970	EC-1.3.5.4
RXN-8799	EC-1.14.13
2.8.1.6-RXN	EC-2.8.1.6
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
DIGLUCODIACETYL-DOCOSANOATE-LYSIS-RXN	EC-3.1.1.6
NMNAMIDOHYDRO-RXN	EC-3.5.1.42
RXN0-2584	EC-3.2.2.27
3.4.11.18-RXN	EC-3.4.11.18
RXN0-6555	EC-1.16.1.9
RXN-14136	EC-3.1.4.46
5.99.1.3-RXN	EC-5.99.1.3
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
RXN-9365	EC-2.5.1.74
ASPARTATEKIN-RXN	EC-2.7.2.4
SERINE-C-PALMITOYLTRANSFERASE-RXN	EC-2.3.1.50
3.5.1.80-RXN	EC-3.5.1.25
MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-2.3.1.39
ACONITATEHYDR-RXN	
DNA-LIGASE-ATP-RXN	EC-6.5.1.1
RXN0-5114	EC-3.1.3.3
RXN-15007	EC-2.6.1.11
ACECOATRANS-RXN	EC-2.8.3.8
3.4.11.9-RXN	EC-3.4.11.9
RXN-10990	
RXN0-2044	EC-1.1.1.35
BETA-GLUCURONID-RXN	EC-3.2.1.31
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
RXN0-2921	EC-6.3.2.17
RXN-9191	EC-2.1.1.163
1.6.4.4-RXN	EC-1.8.1.8
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
NITRATE-REDUCTASE-NADPORNOPH-RXN	EC-1.7.1.2
RXN-11622	EC-3.2.1.52
ADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.7
RXN-10657	EC-1.3.1.10
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
ACYLGPEACYLTRANS-RXN	EC-2.3.1.40
GALACTARDEHYDRA-RXN	EC-4.2.1.42
RXN-9674	EC-3.2.1.21
RXN0-5061	EC-2
RXN-9651	EC-2.3.1.86
RXN0-6941	EC-1.16.1.9
RXN0-1134	EC-1.2.4.1
RXN0-5513	EC-6.2.1.20
RXN-10701	EC-2.3.1.16
RXN0-4022	EC-1.7.1.13
RXN-12196	EC-3.6.1.15
D-PPENTOMUT-RXN	EC-5.4.2.7
RXN-7706	EC-1.1.1.1
DIHYDLIPOXN-RXN	EC-1.8.1.4
RXN-13056	EC-6.3.2.39
GUANYL-KIN-RXN	EC-2.7.4.8
RXN1G-260	EC-1.1.1.100
R311-RXN	EC-3.5.1.4
D-RIBULOKIN-RXN	EC-2.7.1.47
RXN66-525	EC-1.1.1.37
5.3.1.23-RXN	EC-5.3.1.23
PSERPHOSPHA-RXN	EC-3.1.3.3
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1
